"property","entity","entity_label","raw_statements","nondeprecated_statements","distinct_nondeprecated_values","distinct_nondeprecated_start_times","rejection_reason","note"
"P2284","Q126045789","Poppy Playtime - Chapter 1","1","1","1","1","too_few","수집된 비-deprecated 이력 1개: 시간에 따른 변동 확인 불가"
"P2284","Q11907366","Avant","1","1","1","1","too_few","수집된 비-deprecated 이력 1개: 시간에 따른 변동 확인 불가"
"P2284","Q66724521","Cearense: órgão liberal","18","18","14","12","overlap","구독기간·지역·낱부수 가격 혼재; 실제 기간 겹침과 종료일 누락; unknown value도 포함."
"P2284","Q17023800","L'Instant","2","2","2","2","too_few","0.10→0.15 같은 통화의 변경 후보; 2개 이력뿐이고 두 구간도 겹침."
"P2284","Q107182470","museumPASSmusées","2","2","2","2","too_few","50→59 EUR; 비중첩 가격 변경 1회, 이력 2개."
"P2284","Q1852872","New Hebrides franc","1","1","1","1","too_few","수집된 비-deprecated 이력 1개: 시간에 따른 변동 확인 불가"
"P2284","Q98801328","Droits perçus lors des examens du baccalauréat","1","1","1","1","too_few","수집된 비-deprecated 이력 1개: 시간에 따른 변동 확인 불가"
"P2284","Q172540","Bulgarian lev","2","1","1","1","too_few","원시 2개 중 1개 deprecated; 같은 시작일의 서로 다른 통화 표기."
"P2284","Q13717","Libération","12","1","1","1","too_few","가격 12개 중 11개 deprecated; 평가에는 1개만 남음. 통화 변경·종료일 누락·겹침도 존재."
"P2284","Q63531134","Great Detective Pikachu: Birth of a New Duo","2","2","2","2","too_few","1200→1500 JPY; 비중첩 가격 변경 1회, 시작일 간격 34일."
"P2284","Q114983533","Front","2","2","2","2","too_few","0.15→0.30 같은 통화; 가격 변경 1회, 이력 2개."
"P2284","Q81772","Guatemalan peso","1","1","1","1","too_few","수집된 비-deprecated 이력 1개: 시간에 따른 변동 확인 불가"
"P2284","Q138790564","Super Monkey Ball","4","4","2","4","overlap","플랫폼·지역 조건 혼재; 중간 종료일 누락. 85→250을 동일 상품조건 변경으로 단정 불가."
"P2284","Q200759","kina","1","1","1","1","too_few","수집된 비-deprecated 이력 1개: 시간에 따른 변동 확인 불가"
"P2284","Q267264","Comorian franc","2","2","2","2","too_few","프랑스 프랑→유로로 표시 통화 변경; 단순 숫자 차이를 가격 변동으로 해석 불가."
"P2284","Q25627","Lithuanian litas","1","1","1","1","too_few","수집된 비-deprecated 이력 1개: 시간에 따른 변동 확인 불가"
"P2284","Q73228478","Mauerfall-Ticket","1","1","1","1","too_few","수집된 비-deprecated 이력 1개: 시간에 따른 변동 확인 불가"
"P2284","Q11291996","Othello Multivision","1","1","1","1","too_few","수집된 비-deprecated 이력 1개: 시간에 따른 변동 확인 불가"
"P2284","Q113299847","single tourist visa for Egypt","2","2","2","1","too_few","같은 시작월에 서로 다른 발급기관 조건의 가격; 시간 변화 아님."
"P2284","Q122891492","Introduction of the EURO","1","1","1","1","too_few","수집된 비-deprecated 이력 1개: 시간에 따른 변동 확인 불가"
"P2284","Q122904915","Introduction of the EURO","1","1","1","1","too_few","수집된 비-deprecated 이력 1개: 시간에 따른 변동 확인 불가"
"P2284","Q124437329","Blighted Beak","3","3","3","1","overlap","같은 시작일의 서로 다른 통화 가격; 0201년 날짜도 의심."
"P2284","Q12579896","The Sims 4","1","1","1","1","too_few","수집된 비-deprecated 이력 1개: 시간에 따른 변동 확인 불가"
"P2284","Q134592149","Sega Saturn Control Pad","1","1","1","1","too_few","수집된 비-deprecated 이력 1개: 시간에 따른 변동 확인 불가"
"P2284","Q135712381","Prime Minister Infinity - Canada","1","1","1","1","too_few","수집된 비-deprecated 이력 1개: 시간에 따른 변동 확인 불가"
"P2284","Q136769199","Steam Controller","6","6","4","1","overlap","같은 시작일의 국가·통화별 가격 6건; 시간 변화 아님."
"P2284","Q13709","Le Canard enchaîné","1","1","1","1","too_few","수집된 비-deprecated 이력 1개: 시간에 따른 변동 확인 불가"
"P2284","Q142348","Le Parisien","1","1","1","1","too_few","수집된 비-deprecated 이력 1개: 시간에 따른 변동 확인 불가"
"P2284","Q194351","Barbadian dollar","1","1","1","1","too_few","수집된 비-deprecated 이력 1개: 시간에 따른 변동 확인 불가"
"P2284","Q199857","Saudi riyal","1","1","1","1","too_few","수집된 비-deprecated 이력 1개: 시간에 따른 변동 확인 불가"
"P2284","Q206386","Qatari riyal","1","1","1","1","too_few","수집된 비-deprecated 이력 1개: 시간에 따른 변동 확인 불가"
"P2284","Q2258755","Olivetti Lettera 22","1","1","1","1","too_few","수집된 비-deprecated 이력 1개: 시간에 따른 변동 확인 불가"
"P2284","Q26365","Eastern Caribbean dollar","1","1","1","1","too_few","수집된 비-deprecated 이력 1개: 시간에 따른 변동 확인 불가"
"P2284","Q2940460","Carte Oùra","1","1","1","1","too_few","수집된 비-deprecated 이력 1개: 시간에 따른 변동 확인 불가"
"P2284","Q319885","Cayman Islands dollar","1","1","1","1","too_few","수집된 비-deprecated 이력 1개: 시간에 따른 변동 확인 불가"
"P2284","Q3867091","Korean mun","1","1","1","1","too_few","수집된 비-deprecated 이력 1개: 시간에 따른 변동 확인 불가"
"P2284","Q3962777","Slenderman's Shadow","1","1","1","1","too_few","수집된 비-deprecated 이력 1개: 시간에 따른 변동 확인 불가"
"P2284","Q4823","lilangeni","1","1","1","1","too_few","수집된 비-deprecated 이력 1개: 시간에 따른 변동 확인 불가"
"P2284","Q48920099","Raspberry Pi 1 Model B+","1","1","1","1","too_few","수집된 비-deprecated 이력 1개: 시간에 따른 변동 확인 불가"
"P2284","Q55659988","Yandex.Station","1","1","1","1","too_few","수집된 비-deprecated 이력 1개: 시간에 따른 변동 확인 불가"
"P2284","Q5766","VVVVVV","1","1","1","1","too_few","수집된 비-deprecated 이력 1개: 시간에 따른 변동 확인 불가"
"P2284","Q6128361","Umaibō","1","1","1","1","too_few","수집된 비-deprecated 이력 1개: 시간에 따른 변동 확인 불가"
"P2284","Q621371","Seishun 18 Ticket","2","2","2","2","too_few","5일권 12050 JPY→3일권 10000 JPY; 이용기간이 달라 직접 가격 비교 불가, 종료일도 누락."
"P2284","Q63992392","Commodore Horizons","1","1","1","1","too_few","수집된 비-deprecated 이력 1개: 시간에 따른 변동 확인 불가"
"P2284","Q70783353","IsarCard","1","1","1","1","too_few","수집된 비-deprecated 이력 1개: 시간에 따른 변동 확인 불가"
"P2284","Q731350","convertible peso","1","1","1","1","too_few","수집된 비-deprecated 이력 1개: 시간에 따른 변동 확인 불가"
"P2284","Q7567738","South Korean won (1945–1953)","1","1","1","1","too_few","수집된 비-deprecated 이력 1개: 시간에 따른 변동 확인 불가"
"P2284","Q861690","West African CFA franc","1","1","1","1","too_few","수집된 비-deprecated 이력 1개: 시간에 따른 변동 확인 불가"
"P2661","Q970769","Norges Bank","2","2","2","2","too_few","4.5%→4.25% 두 이력뿐; 두 종료일 모두 누락."
"P5899","Q198642","Central Bank of the Republic of China","1","1","1","1","too_few","수집된 비-deprecated 이력 1개: 시간에 따른 변동 확인 불가"
"P5899","Q3257276","Livret d'épargne populaire","1","1","1","1","too_few","수집된 비-deprecated 이력 1개: 시간에 따른 변동 확인 불가"
"P5899","Q3257278","Livret A","1","1","1","1","too_few","수집된 비-deprecated 이력 1개: 시간에 따른 변동 확인 불가"
"P5899","Q3257279","Livret de développement durable et solidaire","1","1","1","1","too_few","수집된 비-deprecated 이력 1개: 시간에 따른 변동 확인 불가"
